code,description/en,License,access/availableOnline,access/exampleIdentifiers,access/guidanceOnLocatingIds,access/languages,access/onlineAccessDetails,access/publicDatabase,confirmed,coverage,data/availability,data/dataAccessDetails,data/features,data/licenseDetails,data/licenseStatus,deprecated,formerPrefixes,links/opencorporates,links/wikipedia,listType,meta/lastUpdated,meta/source,name/en,name/local,quality,quality_explained/Availability: API,quality_explained/Availability: Bulk download,quality_explained/Availability: CSV format,quality_explained/Availability: Excel format,quality_explained/Availability: JSON format,quality_explained/Availability: PDF format,quality_explained/Availability: RDF format,quality_explained/Availability: XML format,quality_explained/License: Closed License,quality_explained/License: No License,quality_explained/License: Open License,quality_explained/List type: Local,quality_explained/List type: Primary,quality_explained/List type: Secondary,registerType,sector,structure,subnationalCoverage,url
NL-KVK,"All companies and entities (including most NGOs) in the Netherlands must enrol with the Commercial Register, which is hosted by the Dutch Chamber of Commerce. Each entity receives a Chamber of Commerce number upon registration, which is the appropriate identifier Dutch companies and NPOs.

Basic company information is available for free, detailed info can be downloaded for a fee.

""All companies and entities in the Netherlands must enroll in the Commercial Register. By law, you have a business if you provide common goods or services to others with the intent to make a profit."" [1] 

""Recipient companies can consult www.kvk.nl/waadi to check if agencies are registered on the Chamber of Commerce website. They can do this simply by entering their Chamber or Commerce number, which is assigned to all companies and legal entities upon registration in the Business Register."" [2] 

""The major forms of Dutch non-profit organization are the associations, the foundations and the churches... Associations registered in The Netherlands are unions between two or more individuals, physical persons or corporate bodies that pursue certain goals stated in the Articles of Association and that cannot divide profit among its members... There are two types of associations that can be set up in the Netherlands: with complete authority under the law (in this case the articles of associations are drawn by a civil notary and it’s mandatory in this case that the association is registered at the Dutch Chamber of Commerce trade register) and with limited authority under the law (when the articles are not drawn up by a notary and the registration is not mandatory)."" [3] 

[1] https://www.kvk.nl/inschrijven-en-wijzigen/inschrijven/?block=420250
[2] https://www.kvk.nl/english/how-to-register-deregister-and-report-changes/registering-with-the-chamber-of-commerce/hiring-or-provision-of-workers-in-the-netherlands/
[3] http://www.bridgewest.eu/article/register-non-profit-organization-netherlands",,False,"41202535, 54416485, 66140285","Users can find the identifiers by using the publicly searchable database on the Chamber of Commerce website. The identifier will be next to 'KvK', or 'Chamber of Commerce' in English.","nl, en",Basic company data is available on the KvK website for free. More detailed information is available for download for a fee.,https://www.kvk.nl/producten-bestellen/,True,NL,html,Basic information available for free. Detailed company records can be downloaded for a fee,"website, registration_number, organisation_name, registered_address",https://opencorporates.com/registers/175,closed_license,,,http://opencorporates.com/companies/nl,,primary,2016-11-30,Desk research,Chamber of Commerce , Kamer van Koophandel,75,,,,,,,,,0,,,,75,,,,"company, charity",,"http://www.kvk.nl/ , https://www.kvk.nl/english/"
MW-NBM,"All NGOs operating in Malawi must register with the NGO Board of Malawi. All NPOs must also register with the Registrar General. There is a pdf file with a list of registered NGOs, but they do not have registration numbers. New database is planned.

""In line with Section 20 of the NGO Act, every organization that wishes to operate or is operating in Malawi as an NGO must register with the NGO Board of Malawi. The Board is a regulatory Body for NGOs in Malawi and failure to register with it means the NGO will be operating illegally."" [1]

""We are currently improving our directory which will not only show a list of registered NGOs when this process is completed, but will also provide an overview of each registered NGO, contacts, and will be searchable by sector and/or location (District)."" [2]

""The Registrar General is responsible for the registration and the administration non-profit entities under the Trustees Incorporation Act Cap. 5:03. "" [3]

[1][2] http://ngoboardmalawi.mw/directory.php
[3] https://www.registrargeneral.gov.mw/services/registration-of-businesses.html",,False,,"The PDF documents provide a list of organisation names but no detailed information. The list is numbered, and descends according to alphabetic order

OIPA results shows one organisation using MW-NBM : Theatre for Change MW-NBM-00139

This number relates to the PDF list 'Paid up list of National (Local) NGOs as at 20 August, 2014' http://ngoboardmalawi.mw/downloads/national%20ngo_directory_nov%202013.pdf

139 Theatre for a Change

This does not look to be a reliable, unique organisation number.",en,,"http://ngoboardmalawi.mw/downloads/malawi_ngo_directory_nov_2013.pdf , http://ngoboardmalawi.mw/downloads/ingo_directory_nov%202013.pdf , http://ngoboardmalawi.mw/downloads/national%20ngo_directory_nov%202013.pdf",True,MW,pdf,,organisation_name,,no_license,,,,,secondary,2016-11-26,Desk research,NGO Board of Malawi,,56,,,,,,1,,,,5,,,,50,,,charity,,http://ngoboardmalawi.mw/directory.php
AR-CENOC,"Law Nº 25.855, de Voluntariado Social (Social Volunteering) established in 2004 a role for  El Centro Nacional de Organizaciones de la Comunidad to maintain a database of civil society organisations (CSOs).

""The CSOs that receive or intend to receive public funds must be included in the database, to carry out projects financed in whole or in part with state resources, whatever the subject matter.""

Registration for the database requests detailed information, including capturing a CUIT number for the organisation (where known), address and contact information. However, only a basic list of identifiers and names is currently published. ",,True,"9316-A, 10434-A, 11890-A",Download the Excel spreadsheet and use the search function to locate an organization name. ,es,An excel spreadsheet of the list is available to download from the CENOC website.,http://www.cenoc.gob.ar/public/documentos/ListadoOrganizacionesWeb.xls,True,AR,"bulk, excel",,,,no_license,False,,,,secondary,2017-7-14,IATI - https://discuss.iatistandard.org/t/proposed-addition-to-the-organisation-registration-agency-codelist-argentina/944,The National Centre of Community Organisations (Argentina), El Centro Nacional de Organizaciones de la Comunidad ,58,,2,,1,,,,,,5,,,,50,,,charity,,http://www.cenoc.gob.ar/
AF-MOE,"NGOs wishing to operate in Afghanistan must register with the NGOs Department of the Ministry of Economy. The register contains government departments, national NGOs and international NGOs.",,False,"89, 176, 2620",,en,"The system provides an online interface to browse a list of organisations. An 'Export to Excel' option is presented, but does not appear to work. ",http://ngos.moec.gov.af/Public/Default.aspx,True,AF,"available:_stated_as_available,_but_unable_to_access","http://ngos.moec.gov.af/Public/Default.aspx - button for Excel download, but not found to be working","date_of_registration, e-mail_address, registration_number, phone_number, organisation_name",,no_license,,,,,secondary,2016-11-18,Desk research,Ministry of Economy NGO Department , وزارة الاقتصاد  انسجام موسسات غیر دولتی,55,,,,,,,,,,5,,,,50,,,charity,,http://moec.gov.af/en
PK-VSWA,"All NGOs are required to register with their local Voluntary Social Welfare (VSWA) department. The VSWA assigns each organisation with an organisation identifier that is made up of a number and the year of registration. There is no searchable database.

The VSWA number should be used as a unique identifier, but users should be aware that the entire sequence is needed (number and year), as it is possible that the number is unique to the year of registration, but is repeated for other years, i.e, 511-2007 is ASFP, but there may be another org with 511-1998.

""Any person intending to establish an agency, and any person
intending that an agency already in existence should be
continued as such, shall, in the prescribed form, and on payment
of the prescribed fee, make an application to the Registration
Authority"" [1] 

""9.Registration, professional guidance and financial assistance to voluntary Social Welfare agencies for strengthening, improving and promoting their activities, coordination amongst NGOs / Donors and concerned government departments."" [2] 

[1] http://www.ilo.org/dyn/natlex/docs/ELECTRONIC/81785/88956/F1282834913/PAK81785.pdf
[2] http://www.swkpk.gov.pk/",,False,,"The VSWA number should be used as a unique identifier, but users should be aware that the entire sequence is needed (number and year), as it is possible that the number is unique to the year of registration, but is repeated for other years, i.e, 511-2007 is ASFP, but there may be another org with 511-1998.",en,,,True,PK,data_not_available,,,,no_license,,,,,primary,2016-12-16,Desk research,Pakistan Voluntary Social Welfare Agency,,80,,,,,,,,,,5,,,75,,,,charity,,"http://www.swkpk.gov.pk/ , http://social_welfare.kp.gov.pk/"
CA_NT-NWT_TNO,This entry was imported from the Open Corporates Jurisdiction List.,,False,,Log-in required for business search,"en, fr",,https://www.justice.gov.nt.ca/en/corporate-registry-searches/,True,CA,"available:_stated_as_available,_but_unable_to_access",,,,closed_license,,,,,primary,2016-12-14,Desk research,Canadian Provincial Corporate Registration - Northwest Territories , Territoires du Nord-Ouest,75,,,,,,,,,0,,,,75,,,,company,CA-NT,https://www.justice.gov.nt.ca/en/divisions/legal-registries-division/corporate-registries/
GB-GOVUK,"This list is deprecated in favour of GB-GOR, the Government Organisation Registry which assigns a unique code to each agency with a page at www.gov.uk.

To construct a legacy GB-GOVUK identifier, use the final segment of the url of a body at http://www.gov.uk (below /organisations) as the ""registration number"", converting all ""-"" to ""_"". Keep ""registration number"" portion all lowercase.

It should be possible to map form GB-GOVUK to GB-GOR identifiers. ",,False,,,,,,True,GB,,,,,,True,,,,secondary,,,"GOV.UK - UK Government Departments, Agencies & Public Bodies",,50,,,,,,,,,,,,,,50,,,government_agency,,https://www.gov.uk/government/organisations
PL-KRS,"The National Court Register (KRS standing for Krajowy Rejestr Sądowy) number is required to be acquired by several types of organizations: companies (without Sole Proprietorships that register in CEiDG), non-profits (associations, foundations, charities), unions and public health institutions.

An organization has to apply for a KRS number and pay a fee (around 25$). ",,True,"0000359730, 0000511485, 0000172011","1. Check both boxes: ""Przedsiębiorcy"" (companies) and ""Stowarzyszenia, inne organizacje społ. i zawodowe, fundacje, ZOZ"" (associations, foundations, charities, unions, public health institutions)
2. Input KRS number in the relevant field (or search by other means, such as a name or a city)
3. Enter captcha ""Kod z obrazka""
4. Start search: ""Szukaj""
5. Choose one of the results by clicking ""Wyświetl""
6. You will get a page with basic details. To get whole info click ""Pobierz wydruk"" to get a PDF with all the information

KRS number is mentioned as ""Numer KRS"". Commonly it is prefixed by zeros, but they are non-significant and in other sources (such as a company's website) may be dropped.",PL,"There is only search available, secured by captcha. No bulk download (expected to appear in 2018).",https://ems.ms.gov.pl/krs/wyszukiwaniepodmiotu,True,PL,data_not_available,"This registry is planned to be opened (API + bulk download access) at the end of 2017, beginning of 2018.","directors_trustees_governors, shareholders, registered_address, website, e-mail_address, industry_classifications, date_of_registration, legal_representatives, registration_number, phone_number, country_of_origin, tax_id_number, business_id_history, post_code_zip_code, activities_sector_code","Non-profits and companies has been reusing this data for several years now, treating it as if openly licensed. ",no_license,False,,https://opencorporates.com/registers/pl/,https://pl.wikipedia.org/wiki/Krajowy_Rejestr_S%C4%85dowy,primary,2017-07-03,Research done by ePanstwo Foundation epf.org.pl/en,The National Court Register (Poland),Krajowy Rejestr Sądowy,80,,,,,,,,,,5,,,75,,,,"charity, company",,https://ems.ms.gov.pl/krs/wyszukiwaniepodmiotu
NL-OWMS,"Overheid.nl is the central access point to all information about government organisations of the Netherlands.

The Overheid.nl Web Metadata Standard ( OWMS ) is the metadata standard for information from the Dutch government on the Internet.

It contains URIs for a wide range of government bodies, including national, local and regional government and water boards.

It provides a linked open dataset which contains ontological information about the relationship between those organisations (e.g. listing parent agencies, or noting organisations that succeed previous organisations).

A management plan is in place for updating of the information [1].


[1]: http://standaarden.overheid.nl/owms/beheer ",,False,"rfmcie, 's-Graveland_(gemeente)","Look for the list of values for the kind of organisation you wish to identify [1].

A full list of government entieis can  be accessed at http://standaarden.overheid.nl/owms/terms/Overheidsorganisatie.html

Each organisation is assigned a URL in the list. Use the last portion of this URL as the identifier. 

For example: ""http://standaarden.overheid.nl/owms/terms/rfmcie"" is the identifier given for the 'Referendum Commission'. To construct an identifier from this, use 'NL-OWMS-rfmcie'.

Note: some identifiers may contain ' and ( and other similar characters. 

[1]: http://standaarden.overheid.nl/owms/4.0/doc/waardelijsten",nl,Linked data available,http://standaarden.overheid.nl/owms/beheer,True,NL,api,,akas,No license information given,no_license,,,,,secondary,2016-12-14,Desk research,Overheid.nl Web Metadata Standard , Overheid.nl Web Metadata Standaard,57,2,,,,,,,,,5,,,,50,,,government_agency,,http://standaarden.overheid.nl/owms/4.0/doc/waardelijsten
DK-CVR,"The CBR is the national body for registering companies and maintaining this information in Denmark. The Central Business Register at Virk is available with English headings and categories. It can be used to search for information on all Danish businesses.

""The Danish Central Business Register (aka CVR — Det Centrale Virksomhedsregister) is the central government register containing primary data on all businesses in Denmark, regardless of economic and organizational structure, except personally owned companies with an annual turnover of less than 50,000 Danish krones."" [1]

[1] https://en.wikipedia.org/wiki/Central_Business_Register_(Denmark)",,False,"36729929, 29614288, 10053021","It is possible to search for identifiers on this database - https://datacvr.virk.dk/data/

This is the English version - https://datacvr.virk.dk/data/?language=en-gb&

Identifiers are underneath the CVR heading.

Extracts from the register are also available: https://datacvr.virk.dk/data/cvr-hj%C3%A6lp/cvr-udtr%C3%A6k ","en, da","Data is available through a simple, searchable database. ",https://datacvr.virk.dk/data/,True,DK,"html, excel, csv, bulk_download","After using the searchable database, search results can be downloaded as an Excel file. The content of the Excel file is in Danish","registered_address, registration_number, status, date_of_registration, organisation_type",,open_license,,,http://opencorporates.com/companies/dk,,primary,2016-11-21,Desk research,Danish Central Business Register,,87,,,1,1,,,,,,,10,,75,,,,company,,https://datacvr.virk.dk/data/
