en,fr,it,nl,ja,da,name,identifier,type,country,is_org_file,is_publisher
PAX,,,,,,PAX,NL-KVK-30214009,21,Netherlands,true,true
"Ministry of Education, Science, Research and Sport",,,,,,"Ministry of Education, Science, Research and Sport",XM-DAC-69-4,,,true,false
Ministry of Foreign and European Affairs of the Slovak Republic,,,,,,Ministry of Foreign and European Affairs of the Slovak Republic,XM-DAC-69-1,10,Slovakia,true,true
Slovak agency for Internal Development Cooperation,,,,,,Slovak agency for Internal Development Cooperation,XM-DAC-69-2,,,true,false
Ministry of Finance,,,,,,Ministry of Finance,XM-DAC-69-3,,,true,false
Lively Minds,,,,,,Lively Minds,GB-CHC-1125512,21,United Kingdom,true,true
Disability Rights Advocacy Fund,,,,,,Disability Rights Advocacy Fund,US-EIN-27-5026463,60,United States,true,true
Rojiroti UK,,,,,,Rojiroti UK,GB-CHC-1147083,21,United Kingdom,true,true
GAVI Alliance,,,,,,GAVI Alliance,47122,30,Switzerland,true,true
Stichting Kinderpostzegels Nederland,,,,,,Stichting Kinderpostzegels Nederland,NL-KVK-41167934,21,Netherlands,true,true
One Acre Fund,,,,,,One Acre Fund,US-DOS-64562614,21,,true,true
Cyan International,,,,,,Cyan International,GB-CHC-1129603,21,United Kingdom,true,true
Wemos Foundation,,,,,,Wemos Foundation,NL-KVK-41201644,21,Netherlands,true,true
Camfed International,,,,,,Camfed International,GB-CHC-1029161,21,United Kingdom,,true
Homeless International,,,,,,Homeless International,GB-CHC-1017255,21,United Kingdom,true,true
Fairfood International,,,,,,Fairfood International,NL-KVK-34141098,22,Netherlands,,true
Near East Foundation (NEF USA),,,,,,Near East Foundation (NEF USA),US-EIN-13-1624114,21,United States,true,true
Belgian Development Cooperation,,,,,,Belgian Development Cooperation,XM-DAC-2-10,10,Belgium,,true
Welbodi Partnership,,,,,,Welbodi Partnership,GB-CHC-1125217,80,United Kingdom,true,true
International Network of People who Use Drugs (INPUD),,,,,,International Network of People who Use Drugs (INPUD),GB-COH-08828458,21,United Kingdom,true,true
Caritas Finland,,,,,,Caritas Finland,FI-PRO-139407,22,Finland,true,true
ColaLife,,,,,,ColaLife,GB-CHC-1142516,22,United Kingdom,true,true
Afghanaid,,,,,,Afghanaid,GB-CHC-1045348,21,United Kingdom,,true
Netherlands Institute for Multiparty Democracy (NIMD),,,,,,Netherlands Institute for Multiparty Democracy (NIMD),NL-KVK-27189542,21,Netherlands,true,true
United Nations Children's Fund (UNICEF),,,,,,United Nations Children's Fund (UNICEF),41122,40,"Bilateral, unspecified",true,true
International Climate Initiative / BMUB Programmbuero IKI,,,,,,International Climate Initiative / BMUB Programmbuero IKI,XI-IATI-IKI,10,Germany,,true
Zing,,,,,,Zing,GB-CHC-1133342,60,United Kingdom,,true
Landell Mills,,,,,,Landell Mills,GB-COH-1574821,70,United Kingdom,,true
Stichting Mayday Rescue Foundation,,,,,,Stichting Mayday Rescue Foundation,NL-KVK-855689493,60,Netherlands,true,true
DECP,,,,,,DECP,NL-KVK-27284008,22,Netherlands,,true
Malaria Consortium,,,,,,Malaria Consortium,GB-CHC-1099776,21,United Kingdom,true,true
LEAD International,,,,,,LEAD International,GB-COH-4075590,21,United Kingdom,,true
PHASE Worldwide,,,,,,PHASE Worldwide,GB-CHC-1112734,21,United Kingdom,true,true
Stichting Health Action International,,,,,,Stichting Health Action International,NL-KVK-41207580,60,Netherlands,true,true
International Alert,,,,,,International Alert,GB-COH-2153193,21,United Kingdom,,true
The William and Flora Hewlett Foundation,,,,,,The William and Flora Hewlett Foundation,US-EIN-941655673,60,United States,true,true
Stichting Vluchteling,,,Stichting Vluchteling,,,Stichting Vluchteling,NL-KVK-41149486,21,Netherlands,true,true
Swiss Agency for Development and Cooperation (SDC),,,,,,Swiss Agency for Development and Cooperation (SDC),XM-DAC-CH-4,10,,true,true
PROTECTING FAMILIES AGAINST HIV/AIDS (PREFA),,,,,,PROTECTING FAMILIES AGAINST HIV/AIDS (PREFA),UG-RSB-63360,22,,true,true
ActionAid UK,,,,,,ActionAid UK,GB-CHC-274467,21,United Kingdom,,true
Stichting Red een Kind,,,,,,Stichting Red een Kind,NL-KVK-41022454,21,Netherlands,true,true
Mercy Corps Europe,,,,,,Mercy Corps Europe,GB-SC-SC030289,21,United Kingdom,true,true
Aeras,,,,,,Aeras,US-EIN-522044704,21,United States,,true
The Foundation Center,,,,,,The Foundation Center,US-EIN-131837418,21,United States,,true
Christian Aid Ireland,,,,,,Christian Aid Ireland,IE-CHY-6998,21,Ireland,true,true
Trust for Africa's Orphans,,,,,,Trust for Africa's Orphans,GB-CHC-1069208,21,United Kingdom,,true
Norad - Norwegian Agency for Development Cooperation,,,,,,Norad - Norwegian Agency for Development Cooperation,NO-BRC-971277882,10,Norway,true,true
Private Infrastructure Development Group,,,,,,Private Infrastructure Development Group,XM-DAC-47086,40,United Kingdom,true,true
Trianglen,,,,,Trianglen,Trianglen,DK-CVR-33985339,22,Denmark,true,true
PwC,,,,,,PwC,GB-COH-03580586,70,United Kingdom,,true
Upper Quartile,,,,,,Upper Quartile,GB-COH-SC301345,70,United Kingdom,true,true
CARE Nederland,,,,,,CARE Nederland,NL-KVK-41158230,21,Netherlands,true,true
FRANK Water,,,,,,FRANK Water,GB-CHC-1121273,21,United Kingdom,true,true
Cordaid,,,,,,Cordaid,NL-KVK-41160054,21,Netherlands,true,true
African Development Bank,,,,,,African Development Bank,46002,40,"Africa, regional",true,true
Asian Development Bank,,,,,,Asian Development Bank,46004,40,"Asia, regional",true,true
Adam Smith International,,,,,,Adam Smith International,GB-COH-2732176,70,United Kingdom,true,true
People in Need,,,,,,People in Need,CZ-ICO-25755277,21,Czech Republic,true,true
Clean Clothes Campaign,,,,,,Clean Clothes Campaign,NL-KVK-41210820,21,Netherlands,true,true
"WO=MEN, Dutch Gender Platform",,,,,,"WO=MEN, Dutch Gender Platform",NL-KVK-27293385,22,Netherlands,,true
Stichting ActionAId,,,,,,Stichting ActionAId,NL-KVK-41217595,21,Netherlands,true,true
Urgent Action Fund for Women's Human Rights,,,,,,Urgent Action Fund for Women's Human Rights,US-EIN-03-041973,21,United States,true,true
WaterAid,,,,,,WaterAid,GB-CHC-288701,21,United Kingdom,,true
Plan International UK,,,,,,Plan International UK,GB-COH-1364201,21,United Kingdom,true,true
Belgian development agency (BTC),,,,,,Belgian development agency (BTC),BE-BCE_KBO-0264814354,10,Belgium,,true
Promundo-US,,,,,,Promundo-US,US-EIN-26-1931968,21,United States,true,true
PEAS (Promoting Equality in African Schools),,,,,,PEAS (Promoting Equality in African Schools),GB-CHC-1126550,21,United Kingdom,true,true
Abt Associates Inc,,,,,,Abt Associates Inc,US-EIN-042347643,70,United States,,true
CABI,,,,,,CABI,XI-IATI-CABI,40,United Kingdom,true,true
